sample_id,chromosome,gene,log2,cn,ecDNA_prob,ecDNA_status
P-0013984-T01-IM5,6,H3C1,1.87611,8,0.2217875945540912,non-ecDNA
P-0013984-T01-IM5,6,H3C11,1.87611,8,0.22148090431100312,non-ecDNA
P-0013984-T01-IM5,6,H3C8,1.87611,8,0.22117083496841858,non-ecDNA
P-0013984-T01-IM5,6,H3C7,1.87611,8,0.22106671413319945,non-ecDNA
P-0013984-T01-IM5,6,H3C3,1.87611,8,0.2206463293287391,non-ecDNA
P-0013984-T01-IM5,6,HLA-A,1.87611,8,0.2748338347540883,non-ecDNA
P-0013984-T01-IM5,6,H3C10,1.87611,8,0.2206463293287391,non-ecDNA
P-0013984-T01-IM5,6,H1-2,1.87611,8,0.2313282997896477,non-ecDNA
P-0013984-T01-IM5,6,H3C6,1.87611,8,0.2737780803734024,non-ecDNA
P-0014094-T01-IM5-P-0014094-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014094-T02-IM5-P-0014094-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014178-T02-IM6-P-0014178-N01-IM6,8,DUSP4,1.90944,8,0.18971583700513947,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,NKX3-1,1.90944,8,0.1611545725334481,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,FGFR1,1.90944,8,0.2209335340035082,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,NSD3,1.90944,8,0.2390628426644502,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,AGO2,1.86074,8,0.21552297714023122,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,SOX17,1.86074,8,0.13703181303208317,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,NBN,1.86074,8,0.1957343541700732,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,ELOC,1.86074,8,0.18109046631247377,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,PRDM14,1.86074,8,0.17404981838201966,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,RECQL4,1.86074,8,0.1517066367002882,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,MYC,1.86074,8,0.15438895137006206,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,PREX2,1.86074,8,0.22287949432958973,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,RAD21,1.86074,8,0.18251375939039352,non-ecDNA
P-0014178-T02-IM6-P-0014178-N01-IM6,8,LYN,1.86074,8,0.2193696650479288,non-ecDNA
P-0014185-T01-IM6-P-0014185-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014189-T01-IM6-P-0014189-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014191-T01-IM6-P-0014191-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014314-T01-IM6-P-0014314-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014367-T01-IM6-P-0014367-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014381-T01-IM6-P-0014381-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014655-T01-IM6-P-0014655-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014853-T01-IM6-P-0014853-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014887-T01-IM6-P-0014887-N01-IM6,1,MDM4,2.1747,10,0.3830700169311964,non-ecDNA
P-0014891-T01-IM6-P-0014891-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014900-T01-IM6-P-0014900-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0014984-T02-IM6-P-0014984-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015000-T01-IM6-P-0015000-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015032-T01-IM6-P-0015032-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015270-T01-IM6-P-0015270-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015374-T02-IM6-P-0015374-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015517-T01-IM6-P-0015517-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015595-T01-IM6-P-0015595-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015619-T03-IM6-P-0015619-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015637-T01-IM6-P-0015637-N01-IM6,3,SETD2,2.013,9,0.4140913007278157,non-ecDNA
P-0015637-T01-IM6-P-0015637-N01-IM6,3,RHOA,1.94587,8,0.36152052901285525,non-ecDNA
P-0015637-T01-IM6-P-0015637-N01-IM6,3,FOXP1,2.04522,9,0.3716670932263774,non-ecDNA
P-0015637-T01-IM6-P-0015637-N01-IM6,3,RYBP,2.04522,9,0.34264592929257914,non-ecDNA
P-0015637-T01-IM6-P-0015637-N01-IM6,5,TERT,2.42415,11,0.3647944756206245,non-ecDNA
P-0015637-T01-IM6-P-0015637-N01-IM6,12,GLI1,2.7642,14,0.3973362653585781,non-ecDNA
P-0015637-T01-IM6-P-0015637-N01-IM6,12,CDK4,3.73919,27,0.4415533862708628,non-ecDNA
P-0015786-T01-IM6-P-0015786-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0015916-T01-IM6-P-0015916-N01-IM6,8,ELOC,4.94811,62,0.5738340213694102,ecDNA
P-0015916-T01-IM6-P-0015916-N01-IM6,8,MYC,4.64156,50,0.6666660375384819,ecDNA
P-0015994-T01-IM6-P-0015994-N01-IM6,3,PRKCI,2.28883,10,0.4244772780405857,non-ecDNA
P-0015994-T01-IM6-P-0015994-N01-IM6,8,MYC,2.38938,11,0.2657656996806927,non-ecDNA
P-0015994-T01-IM6-P-0015994-N01-IM6,8,AGO2,2.43287,11,0.3637712238323624,non-ecDNA
P-0015994-T01-IM6-P-0015994-N01-IM6,10,GATA3,2.08023,9,0.3328534597945643,non-ecDNA
P-0015994-T01-IM6-P-0015994-N01-IM6,10,RET,2.13076,9,0.33242935767666804,non-ecDNA
P-0015994-T01-IM6-P-0015994-N01-IM6,19,AKT2,1.85593,8,0.395063447926913,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,6,VEGFA,2.43434,11,0.25496858917581444,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,6,PIM1,2.43434,11,0.2243136039237766,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,6,CCND3,2.43434,11,0.3138007229784138,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,12,CDK4,3.7498,27,0.3705789024561813,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,17,ALOX12B,2.14616,9,0.27655992053311446,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,17,AURKB,2.14616,9,0.24757992713953408,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,17,NCOR1,1.82018,8,0.3681747776291687,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,17,NCOR1,2.82549,15,0.4665111812758727,non-ecDNA
P-0016055-T01-IM6-P-0016055-N01-IM6,20,RTEL1,1.89528,8,0.35697872753567533,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,6,CCND3,3.16956,18,0.36790361351407813,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,6,VEGFA,3.16956,18,0.3034055814044592,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,6,PIM1,3.16956,18,0.2690290875629934,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,7,EGFR,1.81068,8,0.40988039587066677,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,12,CDK4,3.91416,31,0.4702757788378796,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,17,ALOX12B,2.91459,16,0.33975179486688173,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,17,AURKB,2.91459,16,0.3069597194362335,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,17,NCOR1,2.88222,15,0.4353833314912997,non-ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,17,NCOR1,3.66095,26,0.5414242003261591,ecDNA
P-0016055-T02-IM6-P-0016055-N01-IM6,20,RTEL1,2.06441,9,0.3252257391931706,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,6,CCND3,2.37467,11,0.3187368185226406,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,6,PIM1,2.37467,11,0.22830336756328642,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,6,VEGFA,2.37467,11,0.2593221005528092,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,12,CDK4,4.51637,46,0.47964299418283796,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,17,ALOX12B,2.26544,10,0.2886752903838181,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,17,AURKB,2.26544,10,0.2588842143261478,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,17,NCOR1,3.43931,22,0.49401083976089905,non-ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,19,INSR,3.90276,30,0.5586726031093635,ecDNA
P-0016055-T04-IM6-P-0016055-N01-IM6,20,RTEL1,2.18933,10,0.3807069686210337,non-ecDNA
P-0016090-T01-IM6-P-0016090-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016160-T01-IM6-P-0016160-N01-IM6,7,BRAF,1.99038,8,0.4069196246266353,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,16,ZFHX3,3.56553,24,0.4638825584900171,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,RARA,1.84779,8,0.21141987427670192,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,BRCA1,1.84779,8,0.2245230460796083,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,STAT3,1.84779,8,0.22254612294798753,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,SRSF2,1.84779,8,0.15206927318814623,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,BRIP1,1.84779,8,0.24659473051117586,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,RAD51C,1.84779,8,0.14899752199706257,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,ERBB2,1.84779,8,0.20701925092212892,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,H3-3B,1.84779,8,0.15235413727992442,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,MSI2,1.84779,8,0.2706509663206873,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,CD79B,1.84779,8,0.15373012490293872,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,PRKAR1A,1.84779,8,0.2348408788098611,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,RPTOR,1.84779,8,0.27014805688384,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,STAT5B,1.84779,8,0.22325832696817652,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,PPM1D,1.84779,8,0.21925192255304674,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,SOX9,1.84779,8,0.16181259319405603,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,CDK12,1.84779,8,0.22182813509962557,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,HOXB13,1.84779,8,0.15576716313950953,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,STAT5A,1.84779,8,0.1948139223073207,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,MAP3K14,1.84779,8,0.21408193905408607,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,RNF43,1.84779,8,0.2188417169541404,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,AXIN2,1.84779,8,0.20205987015154442,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,SPOP,1.84779,8,0.22394283151922306,non-ecDNA
P-0016160-T01-IM6-P-0016160-N01-IM6,17,EZH1,1.84779,8,0.20944833373183602,non-ecDNA
P-0016160-T02-IM6-P-0016160-N01-IM6,16,ZFHX3,1.98592,8,0.3956692881571036,non-ecDNA
P-0016217-T01-IM6-P-0016217-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016231-T01-IM6-P-0016231-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016275-T01-IM6-P-0016275-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016346-T01-IM6-P-0016346-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016354-T01-IM6-P-0016354-N01-IM6,5,TERT,2.63237,13,0.4013506772521226,non-ecDNA
P-0016354-T01-IM6-P-0016354-N01-IM6,8,RAD21,1.99446,8,0.23857279450399824,non-ecDNA
P-0016354-T01-IM6-P-0016354-N01-IM6,8,MYC,3.88536,30,0.42098290222383644,non-ecDNA
P-0016354-T01-IM6-P-0016354-N01-IM6,12,CDKN1B,2.62561,13,0.27978582178898986,non-ecDNA
P-0016354-T01-IM6-P-0016354-N01-IM6,12,ETV6,2.62561,13,0.407040114821507,non-ecDNA
P-0016354-T01-IM6-P-0016354-N01-IM6,17,PRKAR1A,2.34927,11,0.40787244398816186,non-ecDNA
P-0016354-T01-IM6-P-0016354-N01-IM6,17,SOX9,2.60746,13,0.3006499468403001,non-ecDNA
P-0016374-T03-IM6-P-0016374-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016406-T01-IM6-P-0016406-N01-IM6,1,BCL10,1.95931,8,0.27490716769624657,non-ecDNA
P-0016406-T01-IM6-P-0016406-N01-IM6,6,VEGFA,2.07506,9,0.2666654329877196,non-ecDNA
P-0016406-T01-IM6-P-0016406-N01-IM6,6,CCND3,2.07506,9,0.3267053398134693,non-ecDNA
P-0016406-T01-IM6-P-0016406-N01-IM6,8,RAD21,2.66256,13,0.30823634822126356,non-ecDNA
P-0016406-T01-IM6-P-0016406-N01-IM6,8,MYC,3.21067,19,0.31179268026341195,non-ecDNA
P-0016414-T01-IM6-P-0016414-N01-IM6,2,MYCN,5.04163,66,0.5261538240782454,ecDNA
P-0016417-T01-IM6-P-0016417-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016515-T02-IM6-P-0016515-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016557-T01-IM6-P-0016557-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016595-T01-IM6-P-0016595-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016645-T01-IM6-P-0016645-N01-IM6,20,SRC,1.84581,8,0.2996945914133577,non-ecDNA
P-0016645-T01-IM6-P-0016645-N01-IM6,20,NCOA3,2.35805,11,0.3522184018398459,non-ecDNA
P-0016645-T01-IM6-P-0016645-N01-IM6,22,CRKL,1.89789,8,0.26302481750747064,non-ecDNA
P-0016645-T01-IM6-P-0016645-N01-IM6,22,MAPK1,1.89789,8,0.2954975917349269,non-ecDNA
P-0016645-T01-IM6-P-0016645-N01-IM6,22,CHEK2,2.63221,13,0.41080309555689476,non-ecDNA
P-0016645-T01-IM6-P-0016645-N01-IM6,22,EWSR1,2.63221,13,0.39319847374218037,non-ecDNA
P-0016645-T01-IM6-P-0016645-N01-IM6,22,ZNRF3,2.63221,13,0.4485588941170632,non-ecDNA
P-0016658-T01-IM6-P-0016658-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016723-T01-IM6-P-0016723-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0016871-T01-IM6-P-0016871-N01-IM6,4,PDGFRA,3.97256,32,0.5001539162102102,ecDNA
P-0016871-T01-IM6-P-0016871-N01-IM6,4,KDR,2.943,16,0.3492240208278858,non-ecDNA
P-0016871-T01-IM6-P-0016871-N01-IM6,4,KIT,2.943,16,0.3683900717687434,non-ecDNA
P-0016944-T01-IM6-P-0016944-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0017027-T01-IM6-P-0017027-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0017029-T02-IM6-P-0017029-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0017162-T01-IM6-P-0017162-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0017165-T01-IM6-P-0017165-N01-IM6,2,CENPA,2.10394,9,0.16634720187976357,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,DNMT3A,2.10394,9,0.22712248213097122,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,ASXL2,2.10394,9,0.2334333428107802,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,EPAS1,2.10394,9,0.22076525402293912,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,XPO1,2.10394,9,0.2109188994030936,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,REL,2.10394,9,0.2062291985720294,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,EPCAM,2.10394,9,0.18195089196010972,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,MYCN,2.10394,9,0.1605389806205294,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,MSH6,2.10394,9,0.1886945343887401,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,SOS1,2.10394,9,0.23317078376744402,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,ALK,2.10394,9,0.27926975011399396,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,MSH2,2.10394,9,0.21800392123472964,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,CASP8,2.11751,9,0.19510615899469191,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,INPP4A,2.11751,9,0.21781955903851205,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,CTLA4,2.11751,9,0.14907432755322794,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,PAX8,2.11751,9,0.19860607426403343,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,ACVR1,2.11751,9,0.2183069398716353,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,ERBB4,2.11751,9,0.2769499310988536,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,CXCR4,2.11751,9,0.12788755865795076,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,BARD1,2.11751,9,0.2055836865835039,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,SF3B1,2.11751,9,0.1908687089293399,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,PMS1,2.11751,9,0.20821378189836462,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,CUL3,2.11751,9,0.20981555684201483,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,PDCD1,2.11751,9,0.15632766441077242,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,TMEM127,2.11751,9,0.16985889550713434,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,BCL2L11,2.11751,9,0.19201059613961777,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,IRS1,2.11751,9,0.20063796180135043,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,INHA,2.11751,9,0.1380512039354183,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,ERCC3,2.11751,9,0.18617534805580271,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,IDH1,2.11751,9,0.1705637789968594,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,NFE2L2,2.11751,9,0.1842411262621705,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,2,STAT1,2.11751,9,0.19075560442353723,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,IL7R,2.21125,10,0.2297392483811265,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,TERT,2.21125,10,0.24635719857238136,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,DROSHA,2.21125,10,0.2794415135727519,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,RICTOR,2.21125,10,0.28053656748089695,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,SDHA,2.21125,10,0.24425846861069667,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,PLK2,2.1154,9,0.152074369939305,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,FLT4,2.1154,9,0.19609812432334603,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,NPM1,2.1154,9,0.18000647564548425,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,FGFR4,2.1154,9,0.16403699932868732,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,RAD50,2.1154,9,0.21112019084173736,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,MSH3,2.1154,9,0.2346804927087789,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,NSD1,2.1154,9,0.2271285466674086,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,CSF1R,2.1154,9,0.2013987650365925,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,PDGFRB,2.1154,9,0.19292604675038028,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,RASA1,2.1154,9,0.219397929296876,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,MAP3K1,2.1154,9,0.2085597573781587,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,APC,2.1154,9,0.22228048195970163,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,5,PIK3R1,2.1154,9,0.21018319800329893,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,CDKN1B,2.35068,11,0.19031225198359733,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,PIK3C2G,2.35068,11,0.3102574052883437,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,KRAS,2.35068,11,0.2465391895902265,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,KDM5A,2.35068,11,0.27151759910044526,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,RECQL,2.35068,11,0.2373943153341967,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,CCND2,2.35068,11,0.23644026042325245,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,ETV6,2.35068,11,0.29603390891540493,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,RAD52,2.35068,11,0.24143224624743168,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,H3-5,2.35068,11,0.1580625096951041,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,SH2B3,2.17387,10,0.2098655318038401,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,PTPN11,2.17387,10,0.22744645679561282,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,POLE,2.17387,10,0.21817182016458547,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,HNF1A,2.17387,10,0.19430486312292464,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,RAB35,2.17387,10,0.1919369641131977,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,TBX3,2.17387,10,0.18189322526448964,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,MSI1,2.17387,10,0.1978309965407512,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,KMT2D,2.17387,10,0.20767107737391483,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,ARID2,2.17387,10,0.24560387478785076,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,GLI1,2.17387,10,0.1794729059304795,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,SMARCD1,2.17387,10,0.18410243628829967,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,KMT5A,2.17387,10,0.19550107005241577,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,CDK4,2.17387,10,0.15845239195649602,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,ERBB3,2.17387,10,0.16215829298679205,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,MDM2,2.17387,10,0.2049192799088164,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,STAT6,2.17387,10,0.18494648465388258,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,12,IGF1,2.17387,10,0.22494446904856227,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,PRKD1,2.23124,10,0.29307045623204636,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,NKX2-1,2.23124,10,0.1742944692029861,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,FOXA1,2.23124,10,0.18299184232685187,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,NFKBIA,2.23124,10,0.1706729373841978,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,MAX,2.23124,10,0.25479976629240625,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,AKT1,2.10098,9,0.21013095346437483,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,RAD51B,2.10098,9,0.3040394190624844,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,DICER1,2.10098,9,0.23831620794026392,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,14,TSHR,2.10098,9,0.26577270268493247,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,TSC2,2.19271,10,0.2333002844403359,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,SOCS1,2.19271,10,0.15981857768507637,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,PALB2,2.19271,10,0.23148979681775028,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,AXIN1,2.19271,10,0.24608076754435476,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,TRAF7,2.19271,10,0.21757344202110104,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,PDPK1,2.19271,10,0.2460314880798042,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,NTHL1,2.19271,10,0.19259248320109487,non-ecDNA
P-0017165-T01-IM6-P-0017165-N01-IM6,16,CREBBP,2.19271,10,0.2709159684457978,non-ecDNA
